,Laboratory,SiO2,TiO2,Al2O3,Fe2O3T,Fe(II)O,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,CO2,LOI,NA,Ag,As,B,Ba,Be,Bi,Br,C(tot),C(org),Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Ga,Gd,Ge,Hf,Hg,Ho,I,In,Ir,La,Li,Lu,Mo,Nb,Nd,Ni,Pb,Pr,Rb,Re,S,Sb,Sc,Se,Sm,Sn,Sr,Ta,Tb,Te,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr
1,J01,68.71,0.48,15.97,2.87,NA,0.041,0.75,1.85,3.99,4.57,0.132,NA,NA,0.35,NA,NA,0.2,NA,1953,NA,NA,NA,1040,NA,NA,155,157,3,16,NA,14,NA,NA,NA,1187,23,NA,3.5,7.7,NA,NA,NA,NA,NA,89,NA,NA,4,10,50,6,27,14,166,NA,60,NA,NA,NA,7,7,456,NA,NA,NA,20,0.6,NA,1.6,44,NA,2,NA,88,330
2,J02,68.72,0.45,16.2,2.85,NA,0.0335,0.74,1.83,4.01,4.6,0.14,NA,NA,0.4,NA,NA,NA,NA,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,3,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,80,NA,3,45,NA,169,NA,NA,NA,NA,NA,NA,NA,654,NA,NA,NA,NA,NA,NA,NA,41,NA,39,NA,110,387
3,J03,68.184,0.465,16.064,2.837,NA,0.035,0.697,1.816,4.114,4.65,0.127,0.098512461826541,NA,0.651,NA,NA,NA,NA,1888.2,NA,NA,NA,NA,NA,NA,155.6,NA,3.7,24.2,3.6,13.8,NA,NA,NA,NA,21.5,NA,NA,7.3,NA,NA,2,NA,NA,89.7,NA,NA,1.8,11.8,52.3,6,31.4,NA,163.5,NA,NA,0.5,5.1,NA,6.3,1.7,458.8,NA,NA,NA,23.9,1.6,NA,2.2,30.2,NA,8.3,NA,84.7,319.7
4,J04,68.9,0.47,16.05,2.86,NA,0.04,0.76,1.8,4.02,4.57,0.13,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,J05,68.85,0.49,15.96,2.91,NA,0.037,0.77,1.85,4.02,4.61,0.137,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,J06,68.11,0.48,15.92,2.89,NA,0.04,0.75,1.75,3.98,4.58,0.13,NA,NA,0.33,NA,NA,1.15,NA,2076,2.58,NA,NA,NA,NA,NA,NA,NA,3.59,NA,NA,10.6,2.25,1.02,1.42,NA,NA,4.69,NA,NA,NA,0.36,NA,NA,NA,89.1,26,0.11,NA,NA,53.8,5.76,NA,16.7,NA,NA,NA,0.12,NA,3.04,7.59,NA,NA,NA,0.47,NA,NA,0.77,0.12,2.29,NA,NA,9.56,0.76,NA,NA
7,J06.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,NA,12.1,NA,NA,NA,NA,NA,NA,24.7,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,1.7,12.1,NA,NA,30.6,NA,161,NA,NA,NA,3,NA,NA,NA,444,NA,NA,NA,26.6,NA,NA,NA,34.8,NA,NA,NA,87,305
8,J07,68.27,0.49,15.93,2.85,NA,0.03,0.85,1.92,3.91,4.58,0.14,NA,NA,0.35,NA,NA,NA,NA,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,28,NA,173,NA,NA,NA,NA,NA,NA,NA,465,NA,NA,NA,NA,NA,NA,NA,36,NA,9,NA,85,316
9,J08,68.82,0.48,15.93,2.88,NA,0.04,0.75,1.83,4.05,4.59,0.134,NA,NA,0.27,NA,0.3,NA,NA,1878,3.5,NA,NA,500,NA,0.05,172.1,NA,4.6,17,1.63,15,2.1,1,1.4,NA,24.8,4.2,0.7,8.7,0.02,0.3,NA,NA,NA,94,30,0.13,2,12,57.7,3,34,17.18,176.1,NA,76,0.2,3,NA,7.7,2.3,474.9,1.03,0.55,NA,23.4,0.91,0.16,2.5,32,0.3,9.8,0.7,83,358
10,J09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2104.1,NA,NA,NA,NA,NA,NA,174.64,NA,4.33,18.87,1.579,16.14,2.101,0.804,1.223,NA,25.52,5.05,NA,8.4,NA,0.345,NA,NA,NA,89.45,NA,0.092,NA,13.77,53.64,8.24,32.09,16.68,174.74,NA,NA,NA,6.74,NA,7.23,NA,479.66,0.898,0.596,NA,24.58,NA,0.1085,1.947,65.15,NA,10.47,0.754,72.22,369.52
11,J10,69.81,0.5,16.23,3.13,NA,0.046,0.8,1.88,4.2,4.44,0.17,NA,0.179,NA,NA,0.5,NA,NA,2221,NA,0.07,NA,NA,NA,0.3,179.21,NA,8.62,22,1.77,NA,2.15,0.9,1.72,NA,NA,5.24,NA,8.05,NA,0.39,NA,0.08,0.27,101.5,NA,0.11,2.69,12,58.87,NA,31.03,18,167.5,0.0095,119.3,NA,NA,0.11,8,6,491,0.97,0.5,NA,26.6,NA,0.14,2.45,37,0.8,10.45,0.78,99,329.4
12,J11,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,0.141,NA,NA,NA,NA,NA,NA,NA,1852.3,NA,0.0311,NA,NA,NA,NA,169.3,NA,4.278,15.68,1.678,13.214,1.979,0.979,1.379,NA,NA,5.292,NA,1.125,NA,0.31,NA,NA,NA,96.45,NA,0.103,6.996,12.17,55.81,6.398,31.85,17.43,171.8,NA,NA,NA,2.731,NA,7.207,2.561,468.4,0.832,0.567,NA,23.53,NA,0.079,1.667,34.71,0.478,7.594,0.672,88.24,40.02
13,J12,68.8,0.49,16.2,2.86,NA,0.04,0.75,1.83,4.25,4.57,0.13,0.53,NA,0.31,NA,0.4,24,NA,1981,2.6,0.13,NA,500,NA,0.06,163,NA,4.3,12,1.43,17.7,4.67,2.49,2.64,0.21,20.5,7.45,0.2,0.58,NA,0.83,NA,0.03,NA,99.3,36,0.35,2.46,16.8,56.4,10,25.4,19,145,NA,NA,0.77,2.5,NA,9.4,2.4,478,3.15,1.02,NA,18,0.72,0.35,1.64,37,0.8,12.8,2.3,86,20.5
14,J13,68.56,0.48,15.94,2.85,NA,0.04,0.73,1.85,4.08,4.66,0.13,NA,NA,0.27,NA,NA,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,16,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,94,NA
15,J14,68.01,0.48,15.74,2.96,1.79,0.037,0.77,1.89,4.05,4.53,0.15,0.42,NA,0.35,NA,NA,NA,4,1925,4.73,NA,NA,349,NA,0.32,163,75,4.56,20.8,1.62,16.7,2.14,0.82,1.32,1300,24.4,4.02,1.1,8.17,0.0095,0.323,NA,NA,NA,88.2,31,0.1,3.01,11.3,52.5,8,32.9,16.3,163,NA,114,NA,3.33,0.05,7.03,2.34,470,0.94,0.47,NA,24.9,NA,0.11,2.04,32.8,0.31,9.08,0.696,92.7,343
16,J15,NA,0.139,1.161,2.106,NA,0.026,0.727,0.437,0.06,0.676,0.157,NA,NA,NA,NA,0.3,0.98,0.93,260.27,0.27,0.06,NA,NA,NA,0.1,14.7,NA,4.32,28.2,NA,19.33,0.94,0.45,0.76,NA,NA,5.37,0.15,NA,NA,0.12,NA,NA,NA,7.1,27.7,0.03,2.8,0.59,58.46,6.89,10.21,19.92,25.2,NA,NA,NA,2.37,0.11,5.47,0.28,21.4,NA,0.32,NA,31.31,0.35,0.03,2.17,11.1,NA,2.6,0.19,86.33,2.31
